iter	Passed	Remaining
0	132	132032
1	133	66513
2	134	44622
3	135	33679
4	136	27113
5	137	22735
6	138	19600
7	139	17241
8	139	15414
9	140	13949
10	141	12753
11	142	11756
12	144	10934
13	145	10215
14	146	9593
15	147	9074
16	148	8604
17	149	8175
18	151	7797
19	152	7450
20	153	7140
21	154	6851
22	155	6591
23	156	6352
24	157	6133
25	158	5935
26	159	5754
27	160	5587
28	162	5430
29	163	5279
30	164	5134
31	165	4998
32	166	4873
33	167	4752
34	168	4639
35	169	4530
36	170	4427
37	171	4329
38	171	4236
39	172	4147
40	173	4062
41	174	3982
42	175	3905
43	176	3837
44	177	3771
45	178	3706
46	179	3641
47	180	3580
48	181	3521
49	182	3463
50	183	3408
51	184	3357
52	185	3307
53	186	3258
54	186	3212
55	188	3172
56	189	3130
57	190	3089
58	191	3049
59	192	3009
60	193	2973
61	194	2936
62	195	2902
63	196	2869
64	197	2836
65	198	2802
66	199	2774
67	199	2738
68	200	2708
69	201	2679
70	202	2651
71	203	2623
72	204	2596
73	205	2569
74	206	2543
75	207	2517
76	207	2492
77	208	2469
78	209	2445
79	210	2422
80	211	2399
81	212	2378
82	213	2358
83	214	2340
84	215	2318
85	216	2298
86	216	2276
87	217	2257
88	218	2238
89	219	2221
90	220	2203
91	221	2185
92	222	2168
93	223	2152
94	224	2136
95	225	2120
96	226	2104
97	226	2089
98	227	2074
99	229	2061
100	230	2049
101	230	2032
102	231	2020
103	232	2006
104	233	1992
105	234	1979
106	235	1965
107	236	1952
108	237	1940
109	238	1928
110	239	1915
111	240	1903
112	241	1891
113	241	1879
114	242	1868
115	243	1855
116	244	1845
117	245	1834
118	246	1823
119	247	1812
120	248	1801
121	248	1791
122	249	1778
123	250	1768
124	251	1759
125	252	1750
126	253	1740
127	253	1729
128	254	1720
129	255	1711
130	256	1702
131	257	1693
132	258	1685
133	259	1678
134	260	1669
135	261	1661
136	262	1653
137	263	1644
138	264	1636
139	265	1628
140	265	1620
141	266	1612
142	267	1605
143	268	1597
144	269	1590
145	270	1582
146	271	1575
147	272	1567
148	273	1560
149	274	1555
150	275	1548
151	276	1541
152	277	1534
153	278	1527
154	278	1520
155	279	1514
156	280	1507
157	281	1500
158	282	1494
159	283	1487
160	284	1481
161	285	1475
162	286	1469
163	287	1463
164	288	1458
165	289	1455
166	290	1450
167	291	1445
168	293	1441
169	294	1436
170	295	1433
171	296	1428
172	297	1424
173	298	1418
174	299	1413
175	301	1409
176	302	1406
177	303	1401
178	305	1398
179	306	1395
180	307	1390
181	308	1386
182	309	1381
183	310	1378
184	311	1373
185	313	1369
186	314	1365
187	315	1361
188	316	1357
189	317	1353
190	318	1349
191	319	1345
192	320	1341
193	321	1337
194	322	1333
195	323	1328
196	324	1323
197	325	1319
198	326	1315
199	327	1311
200	328	1307
201	329	1303
202	330	1299
203	331	1294
204	332	1290
205	333	1286
206	335	1283
207	336	1279
208	337	1275
209	337	1271
210	338	1267
211	339	1263
212	341	1260
213	342	1256
214	343	1253
215	344	1249
216	345	1245
217	346	1242
218	347	1238
219	348	1234
220	349	1231
221	350	1227
222	351	1224
223	352	1221
224	353	1217
225	354	1213
226	355	1209
227	356	1206
228	357	1202
229	358	1199
230	358	1195
231	359	1191
232	360	1187
233	361	1183
234	362	1180
235	363	1176
236	364	1173
237	365	1170
238	366	1166
239	367	1162
240	368	1159
241	368	1155
242	369	1152
243	370	1148
244	371	1145
245	372	1141
246	373	1138
247	374	1134
248	375	1131
249	375	1127
250	376	1124
251	377	1120
252	378	1117
253	379	1114
254	380	1111
255	381	1108
256	382	1105
257	383	1101
258	383	1098
259	384	1095
260	385	1091
261	386	1088
262	387	1085
263	388	1082
264	389	1079
265	390	1076
266	390	1073
267	391	1070
268	392	1066
269	393	1063
270	394	1061
271	395	1058
272	396	1055
273	397	1052
274	398	1049
275	399	1046
276	399	1043
277	400	1040
278	401	1037
279	402	1035
280	403	1032
281	404	1029
282	405	1026
283	406	1023
284	407	1021
285	407	1018
286	408	1015
287	409	1013
288	410	1010
289	411	1007
290	412	1005
291	413	1002
292	414	999
293	415	996
294	415	994
295	416	991
296	417	988
297	418	986
298	419	983
299	420	980
300	421	978
301	422	975
302	422	972
303	423	970
304	425	968
305	426	966
306	426	963
307	427	961
308	428	958
309	429	956
310	430	953
311	431	951
312	432	948
313	433	946
314	433	943
315	434	941
316	435	938
317	436	936
318	437	933
319	438	931
320	439	930
321	440	928
322	442	926
323	443	924
324	444	922
325	445	920
326	446	918
327	447	916
328	448	914
329	449	912
330	450	910
331	451	908
332	452	906
333	453	904
334	455	904
335	456	902
336	457	900
337	458	898
338	459	896
339	460	894
340	461	892
341	462	890
342	463	887
343	464	885
344	465	883
345	466	881
346	467	879
347	468	877
348	469	875
349	470	873
350	471	871
351	472	869
352	473	867
353	474	865
354	475	863
355	476	861
356	476	858
357	477	856
358	478	854
359	479	852
360	480	850
361	481	847
362	481	845
363	482	843
364	483	841
365	484	839
366	485	837
367	486	835
368	487	833
369	488	831
370	489	829
371	490	827
372	491	825
373	491	823
374	492	821
375	493	819
376	494	817
377	495	815
378	496	813
379	497	811
380	498	809
381	499	807
382	500	805
383	501	803
384	501	801
385	502	799
386	503	797
387	504	795
388	505	793
389	506	791
390	507	789
391	507	787
392	508	785
393	509	783
394	510	782
395	511	780
396	512	778
397	513	776
398	514	775
399	515	773
400	516	771
401	517	769
402	518	767
403	519	765
404	519	763
405	520	762
406	521	760
407	522	758
408	523	756
409	524	754
410	525	752
411	526	750
412	527	749
413	527	747
414	528	745
415	529	743
416	530	742
417	531	740
418	532	738
419	533	736
420	534	734
421	535	733
422	536	731
423	536	729
424	537	727
425	538	725
426	539	723
427	540	722
428	541	720
429	542	718
430	543	717
431	544	715
432	545	714
433	546	712
434	547	711
435	548	709
436	549	707
437	549	705
438	550	703
439	551	702
440	552	700
441	553	698
442	554	697
443	555	695
444	556	693
445	557	692
446	558	690
447	559	688
448	560	687
449	561	685
450	562	684
451	563	682
452	563	680
453	564	679
454	565	677
455	566	675
456	567	673
457	568	672
458	569	670
459	569	669
460	570	667
461	571	665
462	572	663
463	573	662
464	574	660
465	575	659
466	576	657
467	577	656
468	578	654
469	579	653
470	580	651
471	581	650
472	582	649
473	583	647
474	584	646
475	585	644
476	586	643
477	587	641
478	588	640
479	589	638
480	590	637
481	591	636
482	593	634
483	594	633
484	595	632
485	596	630
486	597	629
487	598	627
488	599	626
489	600	624
490	600	622
491	601	621
492	602	619
493	603	618
494	604	617
495	605	615
496	606	614
497	607	612
498	608	611
499	609	609
500	610	608
501	611	606
502	612	604
503	613	603
504	613	601
505	614	600
506	615	598
507	616	597
508	617	595
509	618	593
510	619	592
511	620	591
512	621	589
513	622	588
514	623	586
515	623	585
516	624	583
517	625	582
518	626	580
519	627	579
520	628	577
521	629	575
522	629	574
523	630	572
524	631	571
525	632	569
526	633	568
527	634	567
528	635	565
529	636	564
530	636	562
531	637	561
532	638	559
533	639	558
534	640	556
535	641	555
536	642	553
537	643	552
538	643	550
539	644	549
540	645	547
541	646	546
542	647	544
543	648	543
544	649	542
545	650	540
546	651	539
547	652	537
548	652	536
549	653	534
550	654	533
551	655	531
552	656	530
553	657	529
554	658	527
555	659	526
556	659	524
557	660	523
558	661	521
559	662	520
560	663	519
561	664	517
562	665	516
563	666	514
564	666	513
565	667	512
566	668	510
567	669	509
568	670	507
569	671	506
570	672	504
571	672	503
572	673	502
573	674	500
574	675	499
575	676	497
576	677	496
577	678	495
578	679	493
579	679	492
580	680	491
581	681	489
582	682	488
583	683	486
584	684	485
585	685	484
586	686	482
587	686	481
588	687	479
589	688	478
590	689	477
591	690	475
592	691	474
593	692	473
594	693	471
595	694	470
596	694	469
597	696	467
598	696	466
599	697	465
600	698	463
601	699	462
602	700	461
603	701	459
604	702	458
605	702	457
606	703	455
607	704	454
608	705	453
609	706	451
610	707	450
611	708	449
612	709	447
613	710	446
614	711	445
615	712	443
616	713	442
617	713	441
618	714	439
619	715	438
620	716	437
621	717	435
622	718	434
623	719	433
624	719	431
625	720	430
626	721	429
627	722	427
628	723	426
629	723	425
630	724	423
631	725	422
632	727	421
633	728	420
634	729	419
635	730	417
636	731	416
637	732	415
638	733	414
639	734	412
640	735	411
641	735	410
642	737	409
643	738	408
644	739	406
645	740	405
646	741	404
647	742	403
648	743	401
649	743	400
650	744	399
651	745	397
652	746	396
653	747	395
654	748	394
655	749	392
656	749	391
657	750	390
658	751	388
659	752	387
660	753	386
661	754	385
