iter	Passed	Remaining
0	117	117159
1	118	59036
2	119	39650
3	120	29941
4	121	24117
5	122	20251
6	123	17487
7	124	15433
8	125	13809
9	126	12512
10	129	11636
11	130	10733
12	131	9969
13	132	9318
14	133	8753
15	134	8259
16	135	7824
17	136	7436
18	137	7088
19	138	6775
20	139	6497
21	140	6239
22	142	6051
23	143	5843
24	144	5650
25	145	5462
26	146	5294
27	147	5134
28	148	4984
29	149	4849
30	150	4719
31	152	4600
32	153	4487
33	154	4381
34	157	4344
35	159	4257
36	160	4167
37	161	4080
38	162	3999
39	163	3920
40	164	3842
41	165	3769
42	166	3699
43	167	3631
44	168	3569
45	169	3507
46	171	3484
47	172	3429
48	173	3374
49	174	3321
50	175	3271
51	176	3222
52	177	3177
53	179	3136
54	180	3093
55	181	3063
56	183	3031
57	184	2994
58	186	2969
59	187	2937
60	188	2901
61	189	2865
62	190	2832
63	191	2800
64	192	2770
65	193	2739
66	194	2710
67	195	2683
68	197	2658
69	198	2632
70	201	2635
71	202	2611
72	203	2586
73	204	2560
74	205	2534
75	206	2509
76	207	2484
77	208	2460
78	209	2437
79	209	2414
80	210	2392
81	212	2374
82	212	2348
83	213	2327
84	216	2333
85	217	2314
86	218	2295
87	219	2276
88	220	2259
89	221	2240
90	222	2222
91	223	2204
92	224	2187
93	225	2170
94	226	2154
95	227	2137
96	227	2121
97	229	2109
98	230	2098
99	231	2084
100	232	2069
101	233	2055
102	234	2041
103	235	2027
104	236	2013
105	237	2000
106	238	1988
107	239	1978
108	240	1966
109	241	1954
110	242	1941
111	243	1930
112	244	1922
113	253	1971
114	254	1960
115	255	1948
116	256	1935
117	257	1923
118	258	1912
119	259	1900
120	262	1906
121	263	1894
122	264	1883
123	265	1872
124	265	1861
125	266	1851
126	267	1840
127	268	1830
128	269	1820
129	270	1810
130	271	1800
131	272	1791
132	273	1782
133	274	1773
134	278	1787
135	279	1778
136	280	1769
137	281	1760
138	282	1751
139	283	1743
140	284	1734
141	285	1724
142	286	1715
143	287	1706
144	287	1698
145	288	1689
146	289	1681
147	292	1684
148	293	1677
149	294	1669
150	295	1661
151	296	1653
152	297	1645
153	298	1638
154	299	1630
155	299	1622
156	300	1614
157	301	1607
158	302	1600
159	303	1593
160	304	1584
161	305	1579
162	306	1574
163	307	1568
164	308	1561
165	309	1554
166	310	1547
167	311	1541
168	312	1535
169	313	1529
170	314	1522
171	314	1516
172	315	1509
173	316	1503
174	317	1496
175	318	1490
176	319	1484
177	321	1483
178	322	1477
179	323	1472
180	324	1466
181	324	1460
182	325	1454
183	326	1448
184	327	1443
185	328	1438
186	329	1434
187	330	1428
188	331	1424
189	332	1419
190	333	1414
191	334	1409
192	339	1419
193	340	1414
194	341	1410
195	342	1406
196	343	1401
197	344	1396
198	345	1391
199	346	1385
200	347	1381
201	348	1375
202	349	1370
203	352	1374
204	353	1370
205	354	1365
206	355	1360
207	356	1356
208	357	1351
209	357	1346
210	358	1341
211	359	1337
212	360	1332
213	361	1327
214	362	1323
215	363	1318
216	364	1313
217	365	1309
218	366	1307
219	367	1303
220	368	1299
221	369	1294
222	370	1290
223	371	1285
224	372	1281
225	372	1277
226	373	1273
227	374	1268
228	375	1265
229	376	1260
230	377	1256
231	378	1252
232	379	1248
233	382	1251
234	383	1247
235	384	1244
236	385	1240
237	386	1235
238	386	1231
239	387	1227
240	388	1223
241	389	1219
242	390	1215
243	391	1211
244	391	1207
245	392	1203
246	393	1200
247	394	1196
248	396	1194
249	397	1192
250	398	1188
251	399	1184
252	400	1181
253	400	1177
254	401	1174
255	402	1170
256	403	1166
257	404	1163
258	405	1159
259	406	1155
260	406	1152
261	407	1148
262	408	1145
263	409	1142
264	411	1140
265	412	1137
266	413	1134
267	414	1131
268	414	1127
269	415	1124
270	416	1120
271	417	1117
272	418	1113
273	419	1110
274	420	1107
275	420	1104
276	421	1101
277	422	1097
278	423	1094
279	424	1091
280	427	1093
281	428	1091
282	429	1088
283	430	1085
284	431	1082
285	432	1078
286	433	1075
287	433	1072
288	434	1069
289	435	1066
290	436	1063
291	437	1060
292	438	1057
293	439	1055
294	440	1052
295	441	1050
296	442	1047
297	443	1044
298	444	1041
299	445	1039
300	446	1036
301	447	1033
302	448	1031
303	449	1028
304	450	1025
305	450	1022
306	451	1020
307	452	1017
308	453	1014
309	455	1013
310	456	1011
311	457	1008
312	458	1005
313	458	1002
314	459	999
315	460	997
316	461	994
317	462	991
318	463	989
319	464	987
320	465	985
321	467	983
322	467	980
323	471	984
324	473	982
325	474	980
326	475	978
327	476	975
328	477	973
329	478	971
330	479	969
331	480	966
332	481	963
333	482	961
334	483	959
335	486	960
336	487	958
337	488	956
338	489	953
339	490	951
340	491	948
341	491	946
342	492	943
343	493	941
344	494	938
345	495	935
346	496	933
347	497	931
348	497	928
349	498	926
350	501	928
351	502	925
352	503	923
353	504	921
354	505	919
355	506	916
356	507	914
357	508	912
358	509	910
359	510	908
360	511	906
361	512	903
362	513	901
363	515	900
364	516	898
365	517	896
366	518	894
367	519	891
368	520	889
369	521	887
370	522	885
371	523	883
372	524	881
373	525	879
374	526	877
375	527	875
376	528	873
377	530	873
378	532	871
379	533	869
380	533	867
381	534	865
382	535	862
383	536	860
384	537	858
385	538	856
386	539	854
387	540	851
388	540	849
389	541	847
390	542	845
391	543	842
392	546	844
393	547	842
394	548	840
395	549	838
396	550	836
397	551	834
398	552	831
399	553	829
400	554	827
401	555	825
402	555	823
403	556	821
404	557	819
405	558	817
406	559	814
407	560	813
408	561	811
409	562	809
410	563	807
411	564	805
412	565	803
413	566	801
414	567	799
415	567	797
416	568	795
417	569	793
418	570	791
419	571	789
420	572	787
421	573	785
422	574	783
423	575	782
424	576	780
425	577	778
426	578	776
427	579	774
428	580	772
429	580	770
430	581	768
431	582	765
432	583	763
433	584	761
434	584	759
435	585	757
436	586	756
437	587	754
438	588	752
439	591	753
440	592	751
441	593	749
442	594	747
443	595	745
444	596	743
445	597	741
446	598	739
447	599	738
448	599	736
449	600	734
450	601	732
451	602	730
452	603	728
453	604	726
454	608	728
455	609	727
456	610	725
457	611	723
458	612	721
459	612	719
460	613	717
461	614	715
462	615	713
463	616	712
464	617	710
465	618	708
466	619	706
467	620	705
468	622	704
469	623	702
470	624	701
471	625	699
472	626	697
473	627	695
474	627	694
475	628	692
476	629	690
477	630	688
478	631	686
479	632	685
480	633	683
481	634	682
482	636	681
483	637	679
484	638	678
485	639	676
486	640	674
487	641	672
488	642	671
489	643	669
490	644	668
491	645	666
492	646	664
493	647	663
494	648	661
495	649	659
496	650	658
497	652	657
498	653	655
499	654	654
500	654	652
501	655	650
502	656	648
503	657	647
504	658	645
505	659	643
506	660	642
507	661	640
508	662	638
509	663	637
510	664	635
511	668	636
512	669	635
513	670	633
514	670	631
515	671	630
516	672	628
517	673	626
518	674	625
519	675	623
520	676	621
521	677	620
522	677	618
523	678	616
524	679	614
525	681	613
526	682	612
527	683	610
528	684	609
529	685	607
530	686	606
531	686	604
532	687	602
533	688	600
534	689	599
535	690	597
536	691	596
537	692	594
538	692	592
539	693	591
540	694	589
541	698	589
542	699	588
543	700	587
544	701	585
545	702	584
546	703	582
547	704	581
548	705	579
549	707	578
550	708	577
551	710	576
552	713	576
553	714	574
554	715	573
555	716	571
556	716	570
557	717	568
558	718	567
559	719	565
560	721	564
561	722	562
562	723	561
563	724	559
564	725	558
565	727	557
566	728	556
567	729	554
568	730	553
569	731	551
570	732	550
571	733	549
572	734	547
573	735	546
574	736	544
575	737	542
576	738	541
577	739	539
578	740	538
579	741	537
580	743	535
581	744	534
582	745	533
583	746	531
584	747	530
